jpg_id,file_name,sd_card,date_taken,monkey_group,orientation,contents
289,20220331_SD02_3643.JPG,SD02,2022-03-31,Stranger Things,portrait,monkey
290,20220331_SD02_3644.JPG,SD02,2022-03-31,Stranger Things,portrait,monkey
291,20220331_SD02_3645.JPG,SD02,2022-03-31,Stranger Things,portrait,monkey
292,20220331_SD02_3647.JPG,SD02,2022-03-31,Stranger Things,portrait,monkey
293,20220331_SD02_3648.JPG,SD02,2022-03-31,Stranger Things,landscape,monkey
294,20220331_SD02_3656.JPG,SD02,2022-03-31,Stranger Things,portrait,monkey
295,20220331_SD02_3660.JPG,SD02,2022-03-31,Stranger Things,portrait,monkey
296,20220331_SD02_3662.JPG,SD02,2022-03-31,Stranger Things,portrait,monkey
297,20220331_SD02_3663.JPG,SD02,2022-03-31,Stranger Things,portrait,monkey
298,20220331_SD02_3664.JPG,SD02,2022-03-31,Stranger Things,portrait,monkey
299,20220331_SD02_3666.JPG,SD02,2022-03-31,Stranger Things,portrait,monkey
300,20220406_SD01_3765.JPG,SD01,2022-04-06,Stranger Things,portrait,monkey
301,20220406_SD01_3766.JPG,SD01,2022-04-06,Stranger Things,portrait,monkey
302,20220406_SD01_3774.JPG,SD01,2022-04-06,Zombies,portrait,monkey
303,20220406_SD01_3778.JPG,SD01,2022-04-06,Zombies,portrait,monkey
304,20220406_SD01_3780.JPG,SD01,2022-04-06,Zombies,portrait,monkey
305,20220406_SD01_3781.JPG,SD01,2022-04-06,Zombies,portrait,monkey
306,20220406_SD01_3782.JPG,SD01,2022-04-06,Zombies,portrait,monkey
307,20220406_SD01_3784.JPG,SD01,2022-04-06,Zombies,portrait,monkey
308,20220406_SD01_3785.JPG,SD01,2022-04-06,Zombies,portrait,monkey
309,20220406_SD01_3786.JPG,SD01,2022-04-06,Zombies,portrait,monkey
310,20220406_SD01_3790.JPG,SD01,2022-04-06,Zombies,portrait,monkey
311,20220406_SD01_3791.JPG,SD01,2022-04-06,Zombies,portrait,monkey
312,20220406_SD01_3796.JPG,SD01,2022-04-06,Zombies,portrait,monkey
313,20220406_SD01_3806.JPG,SD01,2022-04-06,Zombies,portrait,monkey
314,20220406_SD01_3807.JPG,SD01,2022-04-06,Zombies,portrait,monkey
315,20220406_SD01_3812.JPG,SD01,2022-04-06,Zombies,portrait,monkey
316,20220406_SD01_3813.JPG,SD01,2022-04-06,Zombies,portrait,monkey
317,20220407_SD03_3987.JPG,SD03,2022-04-07,Stranger Things,landscape,monkey
318,20220407_SD03_3988.JPG,SD03,2022-04-07,Stranger Things,landscape,monkey
319,20220407_SD03_3989.JPG,SD03,2022-04-07,Stranger Things,landscape,monkey
320,20220407_SD03_3990.JPG,SD03,2022-04-07,Stranger Things,landscape,monkey
321,20220407_SD03_3994.JPG,SD03,2022-04-07,Stranger Things,landscape,monkey
322,20220407_SD03_3996.JPG,SD03,2022-04-07,Stranger Things,landscape,monkey
323,20220407_SD03_3997.JPG,SD03,2022-04-07,Stranger Things,landscape,monkey
324,20220407_SD03_4003.JPG,SD03,2022-04-07,Stranger Things,landscape,monkey
325,20220415_SD01_4040.JPG,SD01,2022-04-15,Instigators,landscape,monkey
326,20220415_SD01_4044.JPG,SD01,2022-04-15,Instigators,portrait,monkey
327,20220415_SD01_4046.JPG,SD01,2022-04-15,Instigators,portrait,monkey
328,20220415_SD01_4050.JPG,SD01,2022-04-15,Instigators,portrait,monkey
329,20220415_SD01_4066.JPG,SD01,2022-04-15,Instigators,portrait,monkey
330,20220415_SD01_4067.JPG,SD01,2022-04-15,Instigators,landscape,monkey
