jpg_id,file_name,monkey_group,sd_card,date_taken
364,20220419_SD02_4259.JPG,Stranger Things,SD02,2022-04-19
365,20220419_SD02_4260.JPG,Stranger Things,SD02,2022-04-19
366,20220419_SD02_4263.JPG,Stranger Things,SD02,2022-04-19
367,20220419_SD02_4264.JPG,Stranger Things,SD02,2022-04-19
368,20220419_SD02_4265.JPG,Stranger Things,SD02,2022-04-19
369,20220419_SD02_4267.JPG,Stranger Things,SD02,2022-04-19
370,20220419_SD02_4270.JPG,Stranger Things,SD02,2022-04-19
371,20220419_SD02_4272.JPG,Stranger Things,SD02,2022-04-19
372,20220419_SD02_4273.JPG,Stranger Things,SD02,2022-04-19
373,20220419_SD02_4278.JPG,Stranger Things,SD02,2022-04-19
374,20220419_SD02_4280.JPG,Stranger Things,SD02,2022-04-19
375,20220419_SD02_4281.JPG,Stranger Things,SD02,2022-04-19
376,20220419_SD02_4282.JPG,Stranger Things,SD02,2022-04-19
377,20220419_SD02_4283.JPG,Stranger Things,SD02,2022-04-19
378,20220419_SD02_4284.JPG,Stranger Things,SD02,2022-04-19
379,20220419_SD02_4286.JPG,Stranger Things,SD02,2022-04-19
380,20220419_SD02_4296.JPG,Stranger Things,SD02,2022-04-19
381,20220419_SD02_4297.JPG,Stranger Things,SD02,2022-04-19
382,20220419_SD02_4298.JPG,Stranger Things,SD02,2022-04-19
383,20220419_SD02_4299.JPG,Stranger Things,SD02,2022-04-19
384,20220419_SD02_4300.JPG,Stranger Things,SD02,2022-04-19
385,20220419_SD02_4301.JPG,Stranger Things,SD02,2022-04-19
386,20220419_SD02_4310.JPG,Stranger Things,SD02,2022-04-19
387,20220419_SD02_4315.JPG,Stranger Things,SD02,2022-04-19
388,20220419_SD02_4321.JPG,Stranger Things,SD02,2022-04-19
389,20220419_SD02_4322.JPG,Stranger Things,SD02,2022-04-19
390,20220419_SD02_4323.JPG,Stranger Things,SD02,2022-04-19
391,20220419_SD02_4324.JPG,Stranger Things,SD02,2022-04-19
392,20220419_SD02_4326.JPG,Stranger Things,SD02,2022-04-19
393,20220419_SD02_4327.JPG,Stranger Things,SD02,2022-04-19
394,20220419_SD02_4329.JPG,Stranger Things,SD02,2022-04-19
395,20220419_SD02_4331.JPG,Stranger Things,SD02,2022-04-19
396,20220419_SD02_4332.JPG,Stranger Things,SD02,2022-04-19
397,20220419_SD02_4334.JPG,Stranger Things,SD02,2022-04-19
398,20220419_SD02_4336.JPG,Stranger Things,SD02,2022-04-19
399,20220419_SD02_4337.JPG,Stranger Things,SD02,2022-04-19
400,20220419_SD02_4338.JPG,Stranger Things,SD02,2022-04-19
401,20220419_SD02_4339.JPG,Stranger Things,SD02,2022-04-19
402,20220419_SD02_4340.JPG,Stranger Things,SD02,2022-04-19
403,20220419_SD02_4344.JPG,Stranger Things,SD02,2022-04-19
404,20220419_SD02_4345.JPG,Stranger Things,SD02,2022-04-19
405,20220419_SD02_4346.JPG,Stranger Things,SD02,2022-04-19
